req_id,source_refs,category,requirement,module_screen,planned_phase,fleet_lane,test_type,acceptance_criteria,depends_on
REQ-UC10,"README.md:45;use-cases.md:330-371",発注管理,発注明細をテンプレート登録・再利用できる,"Order Template Module / Order Detail",Phase2,Fleet-OrderCore,"unit;integration;ui;e2e","テンプレート保存後に再選択すると明細へ復元される","REQ-UC04"
REQ-UC11,"README.md:44;use-cases.md:372-403",発注管理,複数商品を一括発注し確認ダイアログ経由で保存する,"Bulk Order Screen",Phase2,Fleet-OrderCore,"unit;integration;ui;e2e","一括入力時に合計がリアルタイム更新され、確認後に発注が作成される","REQ-UC04;REQ-UC18"
REQ-UC12,"README.md:42,125;use-cases.md:404-433",発注管理,発注一覧を状態/期間で絞り込みページング表示する,"Order List Screen",Phase2,Fleet-OrderCore,"unit;integration;ui;e2e","条件に一致する発注のみ表示され、ページ送りで次ページを表示できる","REQ-UC04"
REQ-UC13,"README.md:79;use-cases.md:434-461",入荷管理,発注に入荷予定日を登録して可視化する,"Receiving Module / Order List",Phase3,Fleet-Receiving,"unit;integration;ui;e2e","予定日保存後に発注一覧とダッシュボードへ予定件数が反映される","REQ-UC04"
REQ-UC14,"README.md:73,80,108-109;use-cases.md:462-498",入荷管理,入荷確認で完了/部分入荷と在庫加算を正しく反映する,"Receiving Screen / Inventory Module",Phase3,Fleet-Receiving,"unit;integration;ui;e2e","入荷数量確定でステータス更新され、在庫数量が入荷分だけ加算される","REQ-UC13;REQ-UC19"
REQ-UC15,"README.md:58-63,127;use-cases.md:499-535",商品管理,商品を登録・編集・削除し発注点を管理する,"Product Master Screen",Phase4,Fleet-MasterData,"unit;integration;ui;e2e","商品CRUDが実行でき、発注点を含む属性が保存される","REQ-UC01"
REQ-UC16,"README.md:63,127;use-cases.md:536-564",商品管理,商品CSVインポートで一括登録する,"Product Master Screen / CSV Import",Phase4,Fleet-MasterData,"unit;integration;ui;e2e","CSVプレビュー確認後に一括登録され、件数結果メッセージが表示される","REQ-UC15"
REQ-UC17,"README.md:65-69,128;use-cases.md:565-585",仕入先管理,仕入先を登録・編集・削除する,"Supplier Master Screen",Phase4,Fleet-MasterData,"unit;integration;ui;e2e","仕入先CRUDが実行でき一覧へ反映される","REQ-UC01"
REQ-UC18,"README.md:68-69;use-cases.md:586-613",仕入先管理,商品ごとに優先仕入先と仕入先単価を設定する,"Product-Supplier Pricing Module",Phase4,Fleet-MasterData,"unit;integration;ui;e2e","設定後の発注作成で優先仕入先単価が自動適用される","REQ-UC15;REQ-UC17"
REQ-UC19,"README.md:74-76;use-cases.md:614-637",在庫管理,発注点割れを起動時ダイアログ/通知で提示し一括発注へ連携する,"Inventory Alert Module / Dashboard",Phase3,Fleet-Inventory,"unit;integration;ui;e2e","発注点割れ商品件数を表示し、一括発注画面へ対象商品を引き継げる","REQ-UC15"
REQ-UC20,"README.md:84-85,130;use-cases.md:638-663",予算管理,月次/年次予算上限を設定し利用率を表示する,"Budget Settings Screen",Phase3,Fleet-Budget,"unit;integration;ui;e2e","予算設定保存後にダッシュボードへ使用率が表示される","REQ-UC01"
REQ-UC21,"README.md:85;use-cases.md:664-687",予算管理,予算残額警告と超過確認ダイアログを表示する,"Order Detail + Budget Module",Phase3,Fleet-Budget,"unit;integration;ui;e2e","残額閾値で警告表示し、超過時は確認後のみ発注保存できる","REQ-UC20;REQ-UC04"
REQ-UC22,"README.md:87-90;use-cases.md:688-715",請求管理,納品書/請求書情報を発注へ紐付けて保存する,"Invoice/Delivery Info Panel",Phase4,Fleet-Accounting,"unit;integration;ui;e2e","納品書番号・請求書番号・金額情報が発注に紐付いて保存される","REQ-UC04"
REQ-UC23,"README.md:37,94;use-cases.md:716-743",分析,月別/商品別グラフとドリルダウンを提供する,"Analytics Dashboard Screen",Phase4,Fleet-Analytics,"unit;integration;ui;e2e","12か月推移と商品別頻度グラフが表示され、対象一覧へ遷移できる","REQ-UC04"
REQ-UC24,"README.md:98,131;use-cases.md:744-768",運用,操作ログを条件指定で参照できる,"Operation Log Screen / AuditLog",Phase5,Fleet-Ops,"unit;integration;ui;e2e","日時・ユーザー・操作種別・対象IDを一覧表示し操作種別で絞り込める","REQ-UC04;REQ-UC08;REQ-UC09"
REQ-UC25,"README.md:99,132;use-cases.md:769-795",運用,SQLiteデータを手動バックアップする,"Settings Screen / Backup Module",Phase5,Fleet-Ops,"integration;ui;e2e","時刻付きファイル名でDBコピーが保存され、完了通知が表示される","NFR-02;NFR-05"
REQ-UC26,"README.md:27,132;use-cases.md:796-822",設定,管理者がユーザーを登録・有効/無効管理する,"User Management Screen",Phase5,Fleet-Auth,"unit;integration;ui;e2e","ユーザー追加後に次回ログインが可能で、無効化ユーザーはログイン拒否される","REQ-UC01"
REQ-UC27,"README.md:100-101,132;use-cases.md:823-849",設定,会社情報更新とテーマ切替を設定画面で管理する,"Settings Screen",Phase5,Fleet-Ops,"unit;integration;ui;e2e","会社情報保存とテーマ切替が成功し再起動後も保持される","NFR-04;NFR-05"
